字	分部	原書讀音	原書聲調	版本標記	含粵語音義版本標記	(1974)頁	(1974)位置	(1974)解釋	(1974)數碼化編註	(1996)編號	(1996)頁	(1996)位置	(1996)解釋	(1996)數碼化編註	讀音
多	D(打)音起頭之字	do	陰平聲	3	0	26	1			02342	68	1			[3]do1
𥭋	D(打)音起頭之字	do	陰平聲	3	0	26	2			02343	68	2			[3]do1
哆	D(打)音起頭之字	do	陰平聲	3	0	26	3			02344	68	3			[3]do1
朵	D(打)音起頭之字	do	陰上聲	3	0	26	1			02345	68	1			[3:literal]do2
朶	D(打)音起頭之字	do	陰上聲	3	0	26	2			02346	68	2			[3]do2
剁	D(打)音起頭之字	do	陰上聲	3	0	26	3			02347	68	3			[3]do2
垛	D(打)音起頭之字	do	陰上聲	3	0	26	4			02348	68	4			[3]do2
躲	D(打)音起頭之字	do	陰上聲	3	0	26	5			02349	68	5			[3]do2
趓	D(打)音起頭之字	do	陰上聲	3	0	26	6			02350	68	6			[3]do2
跺	D(打)音起頭之字	do	陰上聲	3	0	26	7			02351	68	7			[3]do2
癉	D(打)音起頭之字	do	陰上聲	3	0	26	8			02352	68	8			[3]do2
埵	D(打)音起頭之字	do	陰上聲	3	0	27	9			02353	68	9			[3]do2
嚲	D(打)音起頭之字	do	陰上聲	3	0	27	10			02354	68	10			[3]do2
惰	D(打)音起頭之字	do	陽去聲	3	0	27	1			02355	68	1			[3]do6
墮	D(打)音起頭之字	do	陽去聲	3	0	27	2			02356	68	2			[3]do6
嶞	D(打)音起頭之字	do	陽去聲	3	0	27	3			02357	68	3			[3]do6
隋	D(打)音起頭之字	do	陽去聲	3	0	27	4			02358	68	4			[3]do6
朵	D(打)音起頭之字	doe	陰上聲	3	0	27	1			02359	68	1			[3:verbal]doe2
朶	D(打)音起頭之字	doe	陰上聲	3	0	27	2			02360	69	2			[3]doe2
剁	D(打)音起頭之字	doe	陰去聲	3	0	27	1			02361	69	1			[3:also]doe3
咄	D(打)音起頭之字	doed	陰入聲	3	0	27	1			02362	69	1			[3:original]deot7
啄	D(打)音起頭之字	doeg	中入聲	3	0	27	1			02363	69	1			[3]doek8
涿	D(打)音起頭之字	doeg	中入聲	3	0	27	2			02364	69	2			[3]doek8
椓	D(打)音起頭之字	doeg	中入聲	3	0	27	3			02365	69	3			[3]doek8
琢	D(打)音起頭之字	doeg	中入聲	3	0	27	4			02366	69	4			[3]doek8
諑	D(打)音起頭之字	doeg	中入聲	3	0	27	5			02367	69	5			[3]doek8
剁	D(打)音起頭之字	doeg	中入聲	3	0	27	6			02368	69	6			[3:rare]doek8
斲	D(打)音起頭之字	doeg	中入聲	3	0	27	7			02369	69	7			[3]doek8
斮	D(打)音起頭之字	doeg	中入聲	3	0	27	8			02370	69	8			[3:also]doek8
敦	D(打)音起頭之字	doen	陰平聲	3	0	27	1			02371	69	1			[3]deon1
惇	D(打)音起頭之字	doen	陰平聲	3	0	27	2			02372	69	2			[3]deon1
墩	D(打)音起頭之字	doen	陰平聲	3	0	27	3			02373	69	3			[3]deon1
憝	D(打)音起頭之字	doen	陰平聲	3	0	27	4			02374	69	4			[3]deon1
噸	D(打)音起頭之字	doen	陰平聲	3	0	27	5			02375	69	5			[3]deon1
蹲	D(打)音起頭之字	doen	陰平聲	3	0	27	6			02376	69	6			[3:verbal]deon1
遁	D(打)音起頭之字	doen	陽去聲	3	0	27	1			02377	69	1			[3]deon6
沌	D(打)音起頭之字	doen	陽去聲	3	0	27	2			02378	69	2			[3]deon6
炖	D(打)音起頭之字	doen	陽去聲	3	0	27	3			02379	69	3			[3]deon6
盹	D(打)音起頭之字	doen	陽去聲	3	0	27	4	目藏。謂小睡為～。原讀諄		02380	69	4			[3]deon6;[3:original]ceon4
敦	D(打)音起頭之字	doen	陽去聲	3	0	27	5			02381	69	5			[3]deon6
鈍	D(打)音起頭之字	doen	陽去聲	3	0	27	6			02382	69	6			[3]deon6
頓	D(打)音起頭之字	doen	陽去聲	3	0	27	7			02383	69	7			[3]deon6
燉	D(打)音起頭之字	doen	陽去聲	3	0	27	8			02384	69	8			[3]deon6
遯	D(打)音起頭之字	doen	陽去聲	3	0	27	9			02385	69	9			[3]deon6
啄	D(打)音起頭之字	doeng	陰平聲	3	3	27	1	語音。～食。多指鳥類		02386	69	1			[3:verbal]doeng1
𡁷	D(打)音起頭之字	doeng	陰平聲	3	3	27	2	粵字，啄食。雞～。見《學生粵英詞典》		02387	69	2			[3]doeng1
堆	D(打)音起頭之字	doey	陰平聲	3	0	27	1			02388	69	1			[3]deoi1
䊚	D(打)音起頭之字	doey	陰平聲	3	0	27	2			02389	69	2			[3]deoi1
䭔	D(打)音起頭之字	doey	陰平聲	3	0	27	3			02390	69	3			[3]deoi1
敦	D(打)音起頭之字	doey	陰平聲	3	0	27	4			02391	69	4			[3]deoi1
追	D(打)音起頭之字	doey	陰平聲	3	0	27	5			02392	70	5			[3]deoi1
對	D(打)音起頭之字	doey	陰上聲	3	3	27	1	語音。楹聯俗稱		02393	70	1			[3:verbal]deoi2
㨃	D(打)音起頭之字	doey	陰上聲	2	0					02394	70	2	用長形物撞刺，捅也。又撐也。《集韻》排也。見白宛如《廣州話本字考》。		[2]deoi2
對	D(打)音起頭之字	doey	陰去聲	3	0	27	1			02395	70	1			[3]deoi3
敦	D(打)音起頭之字	doey	陰去聲	3	0	27	2			02396	70	2			[3]deoi3
兌	D(打)音起頭之字	doey	陰去聲	3	0	27	3	匯～，～換		02397	70	3			[3]deoi3
碓	D(打)音起頭之字	doey	陰去聲	3	0	27	4			02398	70	4			[3]deoi3
䏨	D(打)音起頭之字	doey	陰去聲	2	0					02399	70	5	浮腫，又讀高平聲，如𦢏～，形體臃腫（上字音雷），見白宛如《廣州話本字考》。		[2]deoi3;[2:also]deoi1
隊	D(打)音起頭之字	doey	陽去聲	3	0	27	1			02400	70	1			[3]deoi6
兌	D(打)音起頭之字	doey	陽去聲	3	0	27	2	卦名，換也		02401	70	2			[3]deoi6
駾	D(打)音起頭之字	doey	陽去聲	3	0	27	3			02402	70	3			[3]deoi6
錞	D(打)音起頭之字	doey	陽去聲	3	0	27	4			02403	70	4			[3]deoi6
憝	D(打)音起頭之字	doey	陽去聲	3	0	27	5			02404	70	5			[3]deoi6
譈	D(打)音起頭之字	doey	陽去聲	3	0	27	6			02405	70	6			[3]deoi6
懟	D(打)音起頭之字	doey	陽去聲	3	0	27	7			02406	70	7			[3]deoi6
鐓	D(打)音起頭之字	doey	陽去聲	3	0	27	8			02407	70	8			[3]deoi6
度	D(打)音起頭之字	dog	陽入聲	3	0	27	1			02408	70	1			[3]dok9
踱	D(打)音起頭之字	dog	陽入聲	3	0	27	2			02409	70	2			[3]dok9
凙	D(打)音起頭之字	dog	陽入聲	3	0	27	3			02410	70	3			[3]dok9
鐸	D(打)音起頭之字	dog	陽入聲	3	0	27	4			02411	70	4			[3]dok9
代	D(打)音起頭之字	doi	陽去聲	3	0	28	1			02412	70	1			[3]doi6
岱	D(打)音起頭之字	doi	陽去聲	3	0	28	2			02413	70	2			[3]doi6
玳	D(打)音起頭之字	doi	陽去聲	3	0	28	3			02414	70	3			[3]doi6
袋	D(打)音起頭之字	doi	陽去聲	3	0	28	4			02415	70	4			[3]doi6
貸	D(打)音起頭之字	doi	陽去聲	3	0	28	5			02416	70	5			[3:also]doi6
黛	D(打)音起頭之字	doi	陽去聲	3	0	28	6			02417	70	6			[3]doi6
待	D(打)音起頭之字	doi	陽去聲	3	0	28	7			02418	70	7			[3]doi6
隶	D(打)音起頭之字	doi	陽去聲	3	0	28	8			02419	70	8			[3]doi6
埭	D(打)音起頭之字	doi	陽去聲	3	0	28	9			02420	70	9			[3]doi6
逮	D(打)音起頭之字	doi	陽去聲	3	0	28	10			02421	70	10			[3]doi6
靆	D(打)音起頭之字	doi	陽去聲	3	0	28	11			02422	70	11			[3]doi6
怠	D(打)音起頭之字	doi	陽去聲	3	0	28	12			02423	70	12			[3:original]doi6
殆	D(打)音起頭之字	doi	陽去聲	3	0	28	13			02424	70	13			[3:original]doi6
紿	D(打)音起頭之字	doi	陽去聲	3	0	28	14			02425	71	14			[3:original]doi6
迨	D(打)音起頭之字	doi	陽去聲	3	0	28	15			02426	71	15			[3]doi6
瑇	D(打)音起頭之字	doi	陽去聲	3	0	28	16			02427	71	16			[3]doi6
毒	D(打)音起頭之字	doi	陽去聲	3	0	28	17			02428	71	17			[3]doi6
當	D(打)音起頭之字	dong	陰平聲	3	0	28	1			02429	71	1			[3]dong1
噹	D(打)音起頭之字	dong	陰平聲	3	0	28	2			02430	71	2			[3]dong1
璫	D(打)音起頭之字	dong	陰平聲	3	0	28	3			02431	71	3			[3]dong1
襠	D(打)音起頭之字	dong	陰平聲	3	0	28	4			02432	71	4			[3]dong1
鐺	D(打)音起頭之字	dong	陰平聲	3	0	28	5			02433	71	5			[3]dong1
当	D(打)音起頭之字	dong	陰平聲	3	0	28	6			02434	71	6			[3]dong1
簹	D(打)音起頭之字	dong	陰平聲	3	0	28	7			02435	71	7			[3]dong1
黨	D(打)音起頭之字	dong	陰上聲	3	0	28	1			02436	71	1			[3]dong2
攩	D(打)音起頭之字	dong	陰上聲	3	0	28	2			02437	71	2			[3]dong2
讜	D(打)音起頭之字	dong	陰上聲	3	0	28	3			02438	71	3			[3]dong2
钂	D(打)音起頭之字	dong	陰上聲	3	0	28	4			02439	71	4			[3:common]dong2
党	D(打)音起頭之字	dong	陰上聲	3	0	28	5			02440	71	5			[3]dong2
擋	D(打)音起頭之字	dong	陰上聲	3	0	28	6			02441	71	6			[3]dong2
檔	D(打)音起頭之字	dong	陰上聲	3	0	28	7			02442	71	7			[3]dong2
當	D(打)音起頭之字	dong	陰去聲	3	0	28	1			02443	71	1			[3]dong3
擋	D(打)音起頭之字	dong	陰去聲	3	0	28	2			02444	71	2			[3]dong3
檔	D(打)音起頭之字	dong	陰去聲	3	0	28	3			02445	71	3			[3]dong3
蕩	D(打)音起頭之字	dong	陽去聲	3	0	28	1			02446	71	1			[3]dong6
盪	D(打)音起頭之字	dong	陽去聲	3	0	28	2			02447	71	2			[3]dong6
碭	D(打)音起頭之字	dong	陽去聲	3	0	28	3			02448	71	3			[3]dong6
宕	D(打)音起頭之字	dong	陽去聲	3	0	28	4			02449	71	4			[3]dong6
菪	D(打)音起頭之字	dong	陽去聲	3	0	28	5			02450	71	5			[3]dong6
都	D(打)音起頭之字	dou	陰平聲	3	0	28	1			02451	71	1			[3]dou1
闍	D(打)音起頭之字	dou	陰平聲	3	0	28	2			02452	71	2			[3]dou1
嘟	D(打)音起頭之字	dou	陰平聲	3	0	28	3			02453	71	3			[3]dou1
刂	D(打)音起頭之字	dou	陰平聲	3	0	28	4			02454	71	4			[3]dou1
刀	D(打)音起頭之字	dou	陰平聲	3	0	28	5			02455	71	5			[3]dou1
叨	D(打)音起頭之字	dou	陰平聲	3	0	28	6			02456	71	6			[3]dou1
氘	D(打)音起頭之字	dou	陰平聲	2	0					02457	71	7			[2]dou1
忉	D(打)音起頭之字	dou	陰平聲	3	0	28	7			02458	71	8			[3:original]dou1
舠	D(打)音起頭之字	dou	陰平聲	3	0	28	8			02459	71	9			[3]dou1
裯	D(打)音起頭之字	dou	陰平聲	3	0	28	9			02460	71	10			[3]dou1
島	D(打)音起頭之字	dou	陰上聲	3	0	28	1			02461	72	1			[3]dou2
搗	D(打)音起頭之字	dou	陰上聲	3	0	28	2			02462	72	2			[3]dou2
㠀	D(打)音起頭之字	dou	陰上聲	3	0	28	3			02463	72	3			[3]dou2
壔	D(打)音起頭之字	dou	陰上聲	3	0	28	4			02464	72	4			[3]dou2
擣	D(打)音起頭之字	dou	陰上聲	3	0	28	5			02465	72	5			[3]dou2
禱	D(打)音起頭之字	dou	陰上聲	3	0	28	6			02466	72	6			[3]dou2
倒	D(打)音起頭之字	dou	陰上聲	3	0	28	7			02467	72	7			[3]dou2
堵	D(打)音起頭之字	dou	陰上聲	3	0	28	8			02468	72	8			[3]dou2
睹	D(打)音起頭之字	dou	陰上聲	3	0	28	9			02469	72	9			[3]dou2
賭	D(打)音起頭之字	dou	陰上聲	3	0	28	10			02470	72	10			[3]dou2
覩	D(打)音起頭之字	dou	陰上聲	3	0	28	11			02471	72	11			[3]dou2
到	D(打)音起頭之字	dou	陰去聲	3	0	28	1			02472	72	1			[3]dou3
倒	D(打)音起頭之字	dou	陰去聲	3	0	28	2			02473	72	2			[3]dou3
妬	D(打)音起頭之字	dou	陰去聲	3	0	28	3			02474	72	3			[3]dou3
妒	D(打)音起頭之字	dou	陰去聲	3	0	28	4			02475	72	4			[3]dou3
蠹	D(打)音起頭之字	dou	陰去聲	3	0	28	5			02476	72	5			[3]dou3
斁	D(打)音起頭之字	dou	陰去聲	3	0	28	6			02477	72	6			[3]dou3
杜	D(打)音起頭之字	dou	陽去聲	3	0	28	1			02478	72	1			[3]dou6
稻	D(打)音起頭之字	dou	陽去聲	3	0	28	2			02479	72	2			[3]dou6
蹈	D(打)音起頭之字	dou	陽去聲	3	0	28	3			02480	72	3			[3]dou6
盜	D(打)音起頭之字	dou	陽去聲	3	0	28	4			02481	72	4			[3]dou6
悼	D(打)音起頭之字	dou	陽去聲	3	0	28	5			02482	72	5			[3]dou6
度	D(打)音起頭之字	dou	陽去聲	3	0	28	6			02483	72	6			[3]dou6
渡	D(打)音起頭之字	dou	陽去聲	3	0	28	7			02484	72	7			[3]dou6
鍍	D(打)音起頭之字	dou	陽去聲	3	0	28	8			02485	72	8			[3]dou6
道	D(打)音起頭之字	dou	陽去聲	3	0	28	9			02486	72	9			[3]dou6
導	D(打)音起頭之字	dou	陽去聲	3	0	28	10			02487	72	10			[3]dou6
稌	D(打)音起頭之字	dou	陽去聲	3	0	28	11			02488	72	11			[3]dou6
纛	D(打)音起頭之字	dou	陽去聲	3	0	28	12			02489	72	12			[3:also]dou6
幬	D(打)音起頭之字	dou	陽去聲	3	0	28	13			02490	72	13			[3:also]dou6
燾	D(打)音起頭之字	dou	陽去聲	3	0	28	14			02491	72	14			[3:rare]dou6
翿	D(打)音起頭之字	dou	陽去聲	3	0	28	15			02492	72	15			[3:also]dou6
督	D(打)音起頭之字	dug	陰入聲	3	0	28	1			02493	72	1			[3]duk7
篤	D(打)音起頭之字	dug	陰入聲	3	0	28	2			02494	72	2			[3]duk7
突	D(打)音起頭之字	dug	陰入聲	3	0	28	3			02495	72	3			[3]duk7
竺	D(打)音起頭之字	dug	陰入聲	3	0	28	4			02496	72	4			[3]duk7
涿	D(打)音起頭之字	dug	陰入聲	2	0					02497	72	5	語詞。量詞，流下滴也，如一～口水痰。引伸為泡（亦作脬），北方量詞（用於屎或尿）。見《俚語俗字攷》。		[2]duk7
㧻	D(打)音起頭之字	dug	陰入聲	2	0					02498	73	6	刺穿洞穴，以竹木直推擊。此字字形又作豛、⿰豕攴，俗作厾。見《俚語俗字攷》。		[2]duk7
𡰪	D(打)音起頭之字	dug	陰入聲	2	0					02499	73	7	底下，最後。掘～。《廣韻》尾下竅也，即臀底。又作㞘，如打爛沙盤問到㞘。據《玉篇》此乃俗䐁字。	㞘原文作「⿰戶豖」；䐁原文作「豚」	[2]duk7
毒	D(打)音起頭之字	dug	中入聲	3	0	28	5			02500	73	1			[3]duk7;[2]duk8
纛	D(打)音起頭之字	dug	陽入聲	3	0	28	1			02501	73	1			[3]duk9
獨	D(打)音起頭之字	dug	陽入聲	3	0	28	2			02502	73	2			[3]duk9
韣	D(打)音起頭之字	dug	陽入聲	3	0	28	3			02503	73	3			[3]duk9
髑	D(打)音起頭之字	dug	陽入聲	3	0	28	4			02504	73	4			[3]duk9
独	D(打)音起頭之字	dug	陽入聲	3	0	28	5			02505	73	5			[3]duk9
匵	D(打)音起頭之字	dug	陽入聲	3	0	28	6			02506	73	6			[3]duk9
凟	D(打)音起頭之字	dug	陽入聲	3	0	28	7			02507	73	7			[3]duk9
碡	D(打)音起頭之字	dug	陽入聲	3	0	28	8			02508	73	8			[3]duk9
瀆	D(打)音起頭之字	dug	陽入聲	3	0	28	9			02509	73	9			[3]duk9
櫝	D(打)音起頭之字	dug	陽入聲	3	0	28	10			02510	73	10			[3]duk9
殰	D(打)音起頭之字	dug	陽入聲	3	0	28	11			02511	73	11			[3]duk9
牘	D(打)音起頭之字	dug	陽入聲	3	0	28	12			02512	73	12			[3]duk9
犢	D(打)音起頭之字	dug	陽入聲	3	0	28	13			02513	73	13			[3]duk9
讀	D(打)音起頭之字	dug	陽入聲	3	0	28	14			02514	73	14			[3]duk9
讟	D(打)音起頭之字	dug	陽入聲	3	0	28	15			02515	73	15			[3]duk9
黷	D(打)音起頭之字	dug	陽入聲	3	0	28	16			02516	73	16			[3]duk9
頓	D(打)音起頭之字	dug	陽入聲	3	0	28	17			02517	73	17			[3]duk9
毒	D(打)音起頭之字	dug	陽入聲	3	0	28	18			02518	73	18			[3]duk9
冬	D(打)音起頭之字	dung	陰平聲	3	0	29	1			02519	73	1			[3]dung1
咚	D(打)音起頭之字	dung	陰平聲	3	3	29	2	粵字。見《廣州話同音字表》等		02520	73	2			[3]dung1
鼕	D(打)音起頭之字	dung	陰平聲	3	0	29	3			02521	73	3			[3:also]dung1
東	D(打)音起頭之字	dung	陰平聲	3	0	29	4			02522	73	4			[3]dung1
氭	D(打)音起頭之字	dung	陰平聲	3	0	29	5			02523	73	5			[3]dung1
蝀	D(打)音起頭之字	dung	陰平聲	3	0	29	6			02524	73	6			[3:also]dung1
崬	D(打)音起頭之字	dung	陰平聲	3	0	29	7			02525	73	7			[3]dung1
董	D(打)音起頭之字	dung	陰上聲	3	0	29	1			02526	73	1			[3]dung2
畽	D(打)音起頭之字	dung	陰上聲	3	0	29	2			02527	73	2			[3]dung2
疃	D(打)音起頭之字	dung	陰上聲	3	0	29	3			02528	73	3			[3]dung2
踵	D(打)音起頭之字	dung	陰上聲	3	0	29	4			02529	74	4			[3]dung2
懂	D(打)音起頭之字	dung	陰上聲	3	0	29	5			02530	74	5			[3]dung2
凍	D(打)音起頭之字	dung	陰去聲	3	0	29	1			02531	74	1			[3]dung3
崠	D(打)音起頭之字	dung	陰去聲	3	0	29	2			02532	74	2			[3]dung3
棟	D(打)音起頭之字	dung	陰去聲	3	0	29	3	屋脊正樑		02533	74	3			[3]dung3
蝀	D(打)音起頭之字	dung	陰去聲	3	0	29	4			02534	74	4			[3]dung3
洞	D(打)音起頭之字	dung	陽去聲	3	0	29	1			02535	74	1			[3]dung6
峝	D(打)音起頭之字	dung	陽去聲	3	0	29	2			02536	74	2			[3]dung6
恫	D(打)音起頭之字	dung	陽去聲	3	0	29	3			02537	74	3			[3]dung6
峒	D(打)音起頭之字	dung	陽去聲	2	0					02538	74	4			[2]dung6
戙	D(打)音起頭之字	dung	陽去聲	3	0	29	4			02539	74	5			[3]dung6
胴	D(打)音起頭之字	dung	陽去聲	3	0	29	5			02540	74	6			[3]dung6
衕	D(打)音起頭之字	dung	陽去聲	3	0	29	6			02541	74	7			[3:also]dung6
動	D(打)音起頭之字	dung	陽去聲	3	0	29	7			02542	74	8			[3]dung6
働	D(打)音起頭之字	dung	陽去聲	3	0	29	8			02543	74	9			[3]dung6
慟	D(打)音起頭之字	dung	陽去聲	3	0	29	9			02544	74	10			[3]dung6
挏	D(打)音起頭之字	dung	陽去聲	2	0					02545	74	11			[2]dung6
𫥷	D(打)音起頭之字	dyd	陰入聲	2	0					02546	74	1	粵字，圓錐形的，圓形把手。「～長條嘴」，翹起嘴也。見《學粵詞典》。		[2]dyut7
奪	D(打)音起頭之字	dyd	陽入聲	3	0	29	1			02547	74	1			[3]dyut9
剟	D(打)音起頭之字	dyd	陽入聲	3	0	29	2			02548	74	2			[3]dyut9
端	D(打)音起頭之字	dyn	陰平聲	3	0	29	1			02549	74	1			[3]dyun1
耑	D(打)音起頭之字	dyn	陰平聲	3	0	29	2			02550	74	2			[3]dyun1
湍	D(打)音起頭之字	dyn	陰平聲	3	0	29	3			02551	74	3			[3:verbal]dyun1
短	D(打)音起頭之字	dyn	陰上聲	3	0	29	1			02552	74	1			[3]dyun2
𢷖	D(打)音起頭之字	dyn	陰上聲	3	0	29	2	能旋轉收絲器		02553	74	2			[3]dyun2
斷	D(打)音起頭之字	dyn	陰去聲	3	0	29	1			02554	74	1			[3]dyun3
煅	D(打)音起頭之字	dyn	陰去聲	3	0	29	2			02555	74	2			[3]dyun3
碫	D(打)音起頭之字	dyn	陰去聲	3	0	29	3			02556	74	3			[3]dyun3
腶	D(打)音起頭之字	dyn	陰去聲	3	0	29	4			02557	74	4			[3]dyun3
鍛	D(打)音起頭之字	dyn	陰去聲	3	0	29	5			02558	74	5			[3]dyun3
段	D(打)音起頭之字	dyn	陽去聲	3	0	29	1			02559	74	1			[3]dyun6
緞	D(打)音起頭之字	dyn	陽去聲	3	0	29	2			02560	75	2			[3]dyun6
毈	D(打)音起頭之字	dyn	陽去聲	3	0	29	3			02561	75	3			[3]dyun6
斷	D(打)音起頭之字	dyn	陽去聲	3	0	29	4			02562	75	4			[3]dyun6
籪	D(打)音起頭之字	dyn	陽去聲	3	0	29	5			02563	75	5			[3]dyun6
断	D(打)音起頭之字	dyn	陽去聲	3	0	29	6			02564	75	6			[3]dyun6
𫫃	E(⿰口挨)音起頭之字	e	陰平聲	3	3	29	1	感歎詞。又𡃀～，粵語，樂器二絃之俗名		02565	76	1			[3]e1
𡃀	E(⿰口挨)音起頭之字	e	陽平聲	3	3	29	2	粵字。～﹝⿰口挨﹞，即樂器二絃也		02566	76	2			[3]e4
𧧏	E(⿰口挨)音起頭之字	e	陽平聲	3	3	29	3	語音。應聲表示可之意見。《亞乜話齋閒話》		02567	76	3			[3:verbal]e4
誒	E(⿰口挨)音起頭之字	e	陽去聲	3	0	29	4			02568	76	4			[3]e6
欸	E(⿰口挨)音起頭之字	ei	陽去聲	3	0	29	1			02569	76	1			[3]ei6
花	F(花)音起頭之字	fa	陰平聲	3	0	29	1			02570	77	1			[3]faa1
華	F(花)音起頭之字	fa	陰平聲	3	0	29	2			02571	77	2			[3]faa1
蘤	F(花)音起頭之字	fa	陰平聲	3	0	29	3			02572	77	3			[3]faa1
化	F(花)音起頭之字	fa	陰去聲	3	0	29	1			02573	77	1			[3]faa3
擭	F(花)音起頭之字	fa	陰去聲	3	0	29	2			02574	77	2			[3]faa3
法	F(花)音起頭之字	fad	中入聲	3	0	29	1			02575	77	1			[3]faat8
珐	F(花)音起頭之字	fad	中入聲	3	0	29	2			02576	77	2			[3]faat8
砝	F(花)音起頭之字	fad	中入聲	3	0	29	3			02577	77	3			[3]faat8
琺	F(花)音起頭之字	fad	中入聲	3	0	29	4			02578	77	4			[3]faat8
發	F(花)音起頭之字	fad	中入聲	3	0	29	5			02579	77	5			[3]faat8
髮	F(花)音起頭之字	fad	中入聲	3	0	29	6			02580	77	6			[3]faat8
揮	F(花)音起頭之字	fae	陰平聲	3	0	30	1			02581	77	1			[3]fai1
煇	F(花)音起頭之字	fae	陰平聲	3	0	30	2			02582	77	2			[3]fai1
暉	F(花)音起頭之字	fae	陰平聲	3	0	30	3			02583	77	3			[3]fai1
輝	F(花)音起頭之字	fae	陰平聲	3	0	30	4			02584	77	4			[3]fai1
翬	F(花)音起頭之字	fae	陰平聲	3	0	30	5			02585	77	5			[3]fai1
撝	F(花)音起頭之字	fae	陰平聲	3	0	30	6			02586	77	6			[3]fai1
麾	F(花)音起頭之字	fae	陰平聲	3	0	30	7			02587	77	7			[3]fai1
徽	F(花)音起頭之字	fae	陰平聲	3	0	30	8			02588	77	8			[3]fai1
墮	F(花)音起頭之字	fae	陰平聲	3	0	30	9			02589	77	9			[3]fai1
隳	F(花)音起頭之字	fae	陰平聲	3	0	30	10			02590	77	10			[3]fai1
戲	F(花)音起頭之字	fae	陰平聲	3	0	30	11			02591	77	11			[3]fai1
睢	F(花)音起頭之字	fae	陰平聲	3	0	30	12			02592	77	12			[3]fai1
痱	F(花)音起頭之字	fae	陰上聲	3	0	30	1			02593	77	1			[3:verbal]fai2
疿	F(花)音起頭之字	fae	陰上聲	3	0	30	2			02594	77	2			[3]fai2
費	F(花)音起頭之字	fae	陰去聲	3	0	30	1			02595	77	1			[3]fai3
狒	F(花)音起頭之字	fae	陰去聲	3	0	30	2			02596	77	2			[3]fai3
沸	F(花)音起頭之字	fae	陰去聲	3	0	30	3			02597	77	3			[3]fai3
疿	F(花)音起頭之字	fae	陰去聲	3	0	30	4			02598	77	4			[3]fai3
剕	F(花)音起頭之字	fae	陰去聲	3	0	30	5			02599	77	5			[3]fai3
廢	F(花)音起頭之字	fae	陰去聲	3	0	30	6			02600	77	6			[3]fai3
癈	F(花)音起頭之字	fae	陰去聲	3	0	30	7			02601	77	7			[3]fai3
芾	F(花)音起頭之字	fae	陰去聲	3	0	30	8			02602	78	8			[3]fai3
痱	F(花)音起頭之字	fae	陰去聲	3	0	30	9			02603	78	9			[3]fai3
肺	F(花)音起頭之字	fae	陰去聲	3	0	30	10			02604	78	10			[3]fai3
怫	F(花)音起頭之字	fae	陰去聲	3	0	30	11			02605	78	11			[3]fai3
鐨	F(花)音起頭之字	fae	陰去聲	2	0					2605A	78	12			[2]fai3
吠	F(花)音起頭之字	fae	陽去聲	3	0	30	1			02606	78	1			[3]fai6
拂	F(花)音起頭之字	fag	中入聲	2	0					02607	78	1	語音，輕掃打拭。此字本音忽，據《學粵詞典》拂(faud)塵口語亦讀如「拂(fag)乾淨」，引伸為用小長竹打或攪打雞蛋。		[2:verbal]faak8
快	F(花)音起頭之字	fai	陰去聲	3	0	30	1			02608	78	1			[3]faai3
駃	F(花)音起頭之字	fai	陰去聲	3	0	30	2			02609	78	2			[3:also]faai3
筷	F(花)音起頭之字	fai	陰去聲	3	0	30	3			02610	78	3			[3]faai3
傀	F(花)音起頭之字	fai	陰去聲	3	0	30	4			02611	78	4			[3]faai3
塊	F(花)音起頭之字	fai	陰去聲	3	0	30	5			02612	78	5			[3]faai3
噲	F(花)音起頭之字	fai	陰去聲	3	0	30	6			02613	78	6			[3]faai3
凷	F(花)音起頭之字	fai	陰去聲	3	0	30	7			02614	78	7			[3]faai3
番	F(花)音起頭之字	fan	陰平聲	3	0	30	1			02615	78	1			[3]faan1
幡	F(花)音起頭之字	fan	陰平聲	3	0	30	2			02616	78	2			[3]faan1
繙	F(花)音起頭之字	fan	陰平聲	3	0	30	3			02617	78	3			[3]faan1
翻	F(花)音起頭之字	fan	陰平聲	3	0	30	4			02618	78	4			[3]faan1
反	F(花)音起頭之字	fan	陰平聲	3	0	30	5			02619	78	5			[3]faan1
飜	F(花)音起頭之字	fan	陰平聲	3	0	30	6			02620	78	6			[3]faan1
旛	F(花)音起頭之字	fan	陰平聲	3	0	30	7			02621	78	7			[3]faan1
𢬵	F(花)音起頭之字	fan	陰平聲	3	0	30	8	與翻同		02622	78	8			[3]faan1
反	F(花)音起頭之字	fan	陰上聲	3	0	30	1			02623	78	1			[3]faan2
坂	F(花)音起頭之字	fan	陰上聲	3	0	30	2			02624	78	2			[3:original]faan2
㤆	F(花)音起頭之字	fan	陰上聲	3	0	30	3			02625	78	3			[3]faan2
𠆩	F(花)音起頭之字	fan	陰上聲	2	0					02626	78	4	語詞，玩耍或開玩笑。「咪～」，見《廣州話方言詞典》。又《學粵詞典》借反字代用。此字本音凡，人相輕薄也，見《攷正字彙》。		[2]faan2
返	F(花)音起頭之字	fan	陰上聲	3	0	30	4			02627	78	5			[3]faan2
阪	F(花)音起頭之字	fan	陰上聲	3	0	30	5			02628	78	6			[3:original]faan2
泛	F(花)音起頭之字	fan	陰去聲	3	0	30	1			02629	78	1			[3]faan3
汎	F(花)音起頭之字	fan	陰去聲	3	0	30	2			02630	78	2			[3]faan3
