# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
123.1	仫			4		m	uk	6	9	muk6	D93				
124.1	𠆩			4		f	aan	2	2	faan2	E6	D			
125.1	令			4		l	ing	6	6	ling6	I70		命令		
125.2	令			4		l	ing	1	1	ling1	I67		一令紙		
126.1	他			4		t	aa	1	1	taa1	G1				
127.1	仞			4		j	an	6	6	jan6	S24				
128.1	以			4		j	i	5	5	ji5	S37				
129.1	仔			4		z	i	2	2	zi2	P65		仔細		
129.2	仔			4		z	ai	2	2	zai2	P29		豬仔		
130.1	伕			4		f	u	1	1	fu1	E38				
131.1	休			4		j	au	1	1	jau1	S7				
132.1	伍			4			ng	5	5	ng5	N87				
133.1	伎			4		g	ei	6	6	gei6	J49				
134.1	伏			4		f	uk	6	9	fuk6	E56				
135.1	佢			4		k	eoi	5	5	keoi5	L54	D			
136.1	伐			4		f	at	6	9	fat6	E24				
137.1	仳			4		p	ei	2	2	pei2	C30				
138.1	佤			4		ng	aa	5	5	ngaa5	N5				
139.1	企			4		k	ei	5	5	kei5	L26				
140.1	仲			4		z	ung	6	6	zung6	P126				
141.1	仵			4			ng	5	5	ng5	N87				
142.1	件			4		g	in	6	6	gin6	J65				
143.1	任			4		j	am	6	6	jam6	S18		任務		
143.2	任			4		j	am	4	4	jam4	S16		姓		
144.1	价			4		g	aai	3	3	gaai3	J7				
145.1	份			4		f	an	6	6	fan6	E22				
145.2	份			4		b	an	1	1	ban1	B27			古同彬	
146.1	伀			4		z	ung	1	1	zung1	P123				
147.1	伋			4		k	ap	1	7	kap1	L20				
148.1	仰			4		j	oeng	5	5	joeng5	S74				
149.1	仿			4		f	ong	2	2	fong2	E34		仿效		
149.2	仿			4		p	ong	4	4	pong4	C61		仿偟		
150.1	伉			4		k	ong	3	3	kong3	L43				
151.1	伙			4		f	o	2	2	fo2	E31				
152.1	伫			4		c	yu	5	5	cyu5	Q125			同佇	
153.1	伈			4		s	am	2	2	sam2	R34				
154.1	伊			4		j	i	1	1	ji1	S33				
155.1	伃			4		j	yu	4	4	jyu4	A51				
