頁	列	字碼	字
			雒
	2		閣
			擱
			客
			喀
			揢
			愙
			額
			髂
			路
			潞
285	1		璐
			露
			鷺
			名
			茗
			酩
			詺
			銘
		34525	外
	2		[⿰扌处]
			咎
			晷
			𠴰
			綹
			昝
			偺
			喒
		34531	匊
			菊
286	1		掬
			踘
			諊
			鞠
			麴
			夆
			肰
			然
			撚
			燃
			馗
	2	34533	熲
		34534	多
			奓
			扅
			爹
			迻
			侈
			哆
			眵
			移
			移
287	1		謻
			誃
			趍
			黟
			夠
			処
			處
		34543	留
	2		溜
			瑠
			遛
			榴
			餾
			飀
			騮
			罶
			瘤
			籀
288	1		霤
			鶹
			貿
			劉
			瀏
		34544	夗
			苑
			怨
			㼝
			盌
			眢
			鴛
	2		宛
			剜
			涴
			捥
			惋
			婉
			腕
			琬
			椀
			碗
			畹
			蜿
			豌
289	1		黦
			菀
			鵷
		3455	[將右上部]
			⺼
		34551	將
	2		蔣
			獎
			漿
			槳
			螿
			𨄚
			醬
			鏘
			蹡
			頯
		34553	䍃
290	1	3455	猺
			搖
			徭
			瑤
			謠
			鰩
			遙
			窰
			繇
			鷂
			颻
	2		朋
			𠜳
			蒯
			淜
			棚
			硼
			綳
			鵬
			鬅
			崩
			漰
			繃
291	1		蹦
		34554	祭
			憏
			際
			漈
			穄
			瘵
			察
	2		擦
			蔡
			礤
			䌨
			𧦴
			豋
		34555	炙
			夤
			冬
			佟
			㤏
			炵
			終
			螽
292	1		疼
			鼕
			图
		3500	八
			叭
			扒
			穴
			狖
			屄
			鴥
			入
			人
			仄
			昃
	2		閃
			𦨈
			㫃
			乂
			刈
			艾
			㣻
		35112	半
			判
			伴
293	1		拌
			泮
			柈
			胖
			畔
			絆
			衅
			叛
			頖
			佘
	2		賒
			畲
			余
			徐
			除
			滁
			篨
			涂
			塗
			途
			蜍
294	1		酴
			餘
			稌
			畬
			叙
			斜
			敍
			潊
			荼
	2		𨢬
			舍
			捨
			全
			拴
			栓
			詮
			牷
			跧
295	1		銓
			輇
			痊
			筌
			金
			唫
			淦
			捦
			銜
			鑫
			釗
			欽
	2		撳
			廞
			嶔
			崟
			鏖
		3512	肸
		35121	仝
		35123	茶
			搽
296	1		𣏂
			剎
			弒
			殺
			摋
			鎩
		35124	合
	2		郃
			鴿
			哈
			洽
			恰
			拾
297	1		帢
			祫
			袷
			給
			蛤
			跲
			荅
			剳
			塔
			搭
			瘩
			褡
			嗒
	2		鞳
			答
			箚
			閤
			龕
			盒
			拿
			弇
			啽
			媕
			葊
			畣
			墖
			翕
298	1		噏
			歙
			命
			僉
			劍
			劒
			斂
			瀲
			蘞
			籢
			儉
	2		獫
			險
			檢
			殮
			臉
			譣
			瞼
			醶
			驗
			鹼
			匳
			薟
299	1		簽
			龠
			瀹
			爚
			禴
			鑰
			籥
			籲
			龢
			會
	2		鄶
			劊
			儈
			獪
			澮
			噲
			燴
			檜
			膾
			繪
			鱠
			廥
			薈
300	1		旝
			俞
			偷
			愉
			喻
			媮
			揄
			渝
			隃
			榆
			瑜
			逾
			牏
	2		褕
			踰
			諭
			輸
			蝓
			瘉
			窬
			愈
			癒
			毹
			歈
			覦
			侖
			圇
301	1		崙
			倫
			掄
			崙
			淪
			綸
			輪
			論
	2		酋
			楢
			猶
			蕕
			猷
			遒
			緧
			蝤
			鞧
			輶
302	1		鰌
			奠
			鄭
			擲
			躑
			尊
			遵
			撙
			樽
			罇
			蹲
			鐏
	2		鱒
		35132	希
			郗
			欷
			瓻
			唏
			悕
			晞
			稀
			睎
			絺
			豨
			肴
			崤
303	1		淆
			餚
			殽
		35134	㕁
			郄
			恡
			敎
			㒸
			隊
			墜
			遂
			隧
			𤎩
			燧
			穟
			襚
	2		邃
		35135	益
			嗌
			搤
			溢
			隘
			縊
			艗
			謚
			鎰
			鷁
			蠲
304	1	3514	兮
			盻
			諡
			今
			妗
			吟
			矜
			衿
			鈐
			黔
	2		岑
			涔
			芩
			琴
		35141	侌
			陰
			廕
			蔭
			盦
			㱃
			䳺
305	1		韽
			兼
			廉
			簾
			蠊
			鐮
			蒹
			鬑
			傔
			嗛
			慊
	2		嫌
			縑
			賺
			豏
			謙
			鎌
			鰜
			鹻
			歉
			鶼
			食
306	1		飡
			湌
			飧
			飱
			倉
			凔
			傖
			嗆
			愴
			滄
			搶
	2		槍
			艙
			蹌
			鎗
			瑲
			蒼
			瘡
307	1		創
			戧
			鶬
		35142	令
			伶
			冷
			拎
	2		泠
			怜
			玲
			瓴
			翎
			羚
			舲
			聆
			蛉
			鈴
			詅
308	1		軨
			齡
			囹
			苓
			零
			領
			嶺
			鴒
			含
	2		頷
			貪
		35145	念
			埝
			捻
			稔
			諗
			騐
			衾
			搇
309	1	3520	个
		3521	企
		35241	㕣
			兌
			侻
			帨
			脫
			梲
			稅
			蛻
	2		說
			銳
			閱
			袞
			滾
			兾
		35242	曾
			僧
			噌
310	1		嶒
			憎
			增
			橧
			矰
			繒
			蹭
			贈
			鄫
			甑
			層
			罾
			鬙
		35243	汆
	2		汆
			肏
		3525	尒
			伱
			苶
		35312	乎
			呼
			𧦝
			虖
311	1		嘑
			滹
			㙤
			罅
			謼
			釆
			宷
			審
			瀋
			嬸
			讅
			番
	2		墦
			嶓
			幡
			播
			潘
			藩
			燔
			膰
			皤
			繙
			翻
			磻
			蟠
312	1		蹯
			旛
			蕃
			鄱
			飜
			[⿱釆大]
			悉
			窸
			蟋
		35313	㸔
		33532	介
	2		价
			蚧
			骱
			芥
			界
			疥
			尬
		3533	㐱
			沴
			珍
313	1		殄
			餮
			畛
			袗
			紾
			軫
			診
			趁
			疹
			胗
	2		飻
			翏
			僇
			嘐
			嫪
			膠
			璆
			樛
			磟
			繆
314	1		轇
			謬
			醪
			鏐
			飂
			勠
			戮
			廖
			寥
			瘳
			蓼
		35341	佾
	2	35343	兆
			佻
			姚
			咷
			洮
			挑
			晁
			珧
			桃
315	1		朓
			祧
			眺
			旐
			跳
			銚
			鞉
			覜
			頫
			鼗
			逃
			窕
	2	3535	从
			仌
			爻
			駁
			𤕟
			父
		35351	坐
			剉
			挫
			脞
316	1		銼
			座
			莝
			髽
			㦰
			韱
			孅
			懺
			殲
			纖
			讖
			籤
			棥
			樊
	2		攀
			襻
			礬
			蠜
			欝
			釜
			滏
			爺
		35352	𧮫
			卻
317	1		腳
			郤
			綌
			谷
			俗
			峪
			浴
			裕
			𧯆
			欲
	2		慾
			鵒
			容
			蓉
			榕
			溶
			熔
			鎔
			從
318	1		摐
			漇
			樅
			瑽
			縱
			蹤
			蓯
			瘲
			慫
			聳
	2		俎
		35353	斧
			爹
			众
			傘
		35354	爸
			𡥈
		3540	亾
		3542	凶
			汹
			忷
319	1		訩
			酗
		35423	兇
			㚇
			椶
			糉
			騣
			鬷
			鬉
	2		分
			份
			吩
			扮
			汾
			坋
			枌
			盼
			粉
			紛
320	1		鼢
			邠
			攽
			頒
			芬
			棻
			氛
			雰
			坌
			岔
			盆
			湓
			貧
			忿
			棼
			麄
	2	3545	公
			忪
			蚣
			訟
			舩
			松
			淞
			崧
			菘
			鬆
321	1		頌
			瓮
			翁
			滃
			蓊
			嗡
			螉
			忩
			䓗
			窓
			聡
			乏
			泛
	2		眨
			砭
			貶
			窆
		3550	义
		3551	禽
			擒
			噙
			檎
		3553	爫
322	1	35531	糴
			爰
			猨
			援
			媛
			湲
			暖
			煖
			蕿
			楥
			瑗
			蝯
	2		緩
			諼
			蘐
			鍰
			萲
			寽
			捋
			埒
			酹
			鋝
			虢
			采
323	1		彩
			菜
			採
			睬
			綵
			踩
			㥯
			隱
			櫽
			癮
	2		讔
			穩
		35532	爯
			偁
			稱
			覓
			爵
			灂
			嚼
324	1		爝
			皭
			釂
		35533	𥝩
			㸒
			淫
			霪
			舀
			搯
			滔
			慆
			稻
	2		蹈
			縚
			韜
			爲
			僞
			撝
			嬀
			潙
			蔿
			寪
			𩍇
			譌
			蘤
325	1	35534	孚
			莩
			乳
			俘
			浮
			郛
			桴
	2		脬
			殍
			稃
			粰
			蜉
			孵
			妥
			荽
			挼
			脮
			綏
			餒
			骽
			鮾
			爭
326	1		崢
			凈
			淨
			掙
			猙
			琤
			竫
			㬹
			睜
			諍
			錚
			箏
	2		鬇
			奚
			傒
			徯
			溪
			蹊
			豀
			謑
			鞵
			鼷
			谿
			雞
			鷄
			鸂
327	1		𤔔
			亂
			辭
			覶
			豸
		35535	受
			授
	2		綬
			閿
			辤
			愛
			僾
			噯
			嬡
			曖
			靉
			薆
			舜
			蕣
			瞬
		3555	於
328	1		淤
			菸
			瘀
			閼
		35555	儍
			鬯
329	1	4000	乙
			肊
			戹
			阸
			㧖
			軶
			穵
			挖
			鳦
			乚
			扎
			紥
			札
	2		紮
			孔
			吼
			犼
			礼
			虬
			耴
			輒
			鮿
			糺
			軋
			齓
330	1		彐
			⺕
			雪
			鱈
			与
		41111	聿
			筆
			律
			津
	2		肂
			肄
			肆
			建
			健
			湕
			楗
			毽
			犍
			腱
			鍵
			鞬
			書
331	1		晝
			畫
			劃
			嫿
			盡
			藎
			儘
	2		孻
			燼
			贐
			賮
			衋
		41112	𦘒
			肅
			蕭
			瀟
			蠨
			簫
332	1		嘯
			繡
			鏽
			驌
			歗
			鷫
			尋
			撏
			潯
			樳
			燖
	2		鱘
			蕁
			鄩
		41113	[⿱彐豕]
		44122	唐
			搪
			塘
			溏
333	1		瑭
			螗
			糖
			餹
			赯
		41124	庸
			傭
			墉
			慵
			牅
			鏞
	2		鱅
			鄘
		41125	隶
			埭
			棣
			隷
			𨽻
			隸
			逮
			靆
			康
334	1		康
			穅
			糠
		4113	尹
			伊
			咿
			吚
			笋
		41132	君
	2		涒
			捃
			裙
			莙
			窘
			麏
			帬
			焄
			羣
			裠
			郡
			群
		41135	庚
335	1		賡
			鶊
		4114	艮
			茛
			狠
			很
			恨
			限
			垠
			根
			痕
	2		眼
			跟
			銀
			艱
			齦
			墾
			懇
			恳
			退
			腿
			褪
			即
			既
			簋
336	1	41153	灵
		41154	𠬶
			侵
			葠
			葠
			浸
			寖
			祲
			寢
			鋟
	2		駸
			帚
			埽
			掃
			婦
			㱕
			𣺎
			薓
			箒
			彚
		4121	丑
337	1		狃
			妞
			扭
			忸
			杻
			衄
			紐
			鈕
			叚
			敢
			噉
			澉
	2		橄
			瞰
			憨
			鬫
			闞
			矙
		41214	厾
		4123	[⿰亻𡥀]
		4124	司
			伺
338	1		祠
			詞
			嗣
			飼
			笥
		4130	尸
			鳲
		41311	侯
	2		堠
			喉
			猴
			糇
			餱
			瘊
			篌
			候
		4132	爿
		4133	臧
339	1		藏
			臟
			贜
			贓
		4135	尺
			呎
			粎
			昼
			𡱮
			尽
			夬
	2		决
			決
			快
			筷
			抉
			玦
			缺
			袂
			趹
			觖
			訣
			鴂
340	1		鴃
		4140	弓
			芎
			穹
			躬
			窮
			藭
			己
			妃
	2		圮
			屺
			杞
			紀
			記
			起
			配
			芑
			忌
341	1		跽
			改
			已
			巳
			汜
			圯
			戺
			祀
			异
		4141	民
			冺
	2		泯
			氓
			岷
			抿
			珉
			眠
			蟁
			昬
			湣
			惽
			㛰
			瑉
			緡
			敃
342	1		愍
			暋
		4142	弔
		41423	第
			苐
		41432	弗
			佛
			咈
	2		拂
			怫
			沸
			彿
			狒
			紼
			茀
			疿
			髴
			艴
			費
343	1	41433	弱
			嫋
			搦
			溺
			蒻
			篛
		41435	戉
			越
	2		樾
			鉞
		4144	了
			㢲
			𢰅
			𩜹
			霛
			巽
			僎
			噀
			撰
			譔
			饌
344	1		選
			簨
		4200	卩
			凵
			丩
			收
			叫
			虯
			糾
			赳
	2		觓
			了
		4210	孒
			子
			仔
345	1		好
			囝
			字
			牸
			籽
			耔
			斿
			游
	2		遊
			蝣
			厚
		42111	承
		42121	疎
			疏
		42124	孟
			猛
346	1		蜢
			艋
			錳
			韋
			圍
			韌
			韡
			郼
			偉
			幃
			瑋
			煒
			禕
			褘
	2		緯
			諱
			韓
			韙
			葦
			闈
			衛
			衞
			讆
			躗
		4213	疋
347	1		胥
			湑
			壻
			婿
			糈
			諝
			醑
			蛋
			疏
			楚
			礎
			旋
	2		漩
			璇
			鏇
			[⿰亻𡥀]
		4214	孱
			僝
			潺
			舝
		42211	廌
348	1		薦
			韉
			灋
			鹿
			漉
			轆
			鏕
			鄜
			簏
			麓
			麤
	2		慶
		4222	丱
		4230	孑
			屮
		4231	㞢
			[⿱㞢寸]
			𡶾
			蚩
349	1		媸
			嗤
			𢗍
		4233	𡴎
			辥
			孼
			櫱
			糱
			蠥
		42332	巂
	2		攜
			蠵
			觿
			鑴
		42342	艸
			𢷎
		42345	弢
		4240	也
			匜
350	1		他
			怹
			池
			弛
			地
			阤
			迆
			灺
			她
			虵
			牠
			訑
			貤
	2		馳
			竾
			髢
			施
			葹
			椸
		4241	局
			侷
351	1		挶
			跼
		4243	丞
			拯
			巹
			𦜕
			烝
			蒸
			𧯷
		4245	𠬝
			服
	2		菔
			鵩
		4250	卂
			汛
			迅
			訊
			蝨
		4253	函
352	1		涵
			崡
			菡
		4300	刁
			刀
			叨
			切
			初
			舠
			力
	2		仂
			叻
			泐
			觔
			肋
			筋
			勒
			鰳
			匕
			牝
353	1		庀
			麀
			䥝
			尼
			妮
			呢
			泥
			昵
			柅
			怩
			旎
			它
	2		佗
			沱
			陀
			拕
			柁
			詑
			蛇
			跎
			舵
			酡
354	1		駝
			鮀
			鴕
			鼧
			頃
			廎
			傾
			蹞
			頴
			穎
			潁
	2		熲
			𠤎
			化
			吪
			靴
			訛
			花
			囮
355	1		貨
		4310	女
			汝
			妝
			囡
			安
			按
			鞍
			案
			頞
	2		晏
			鷃
			鼹
			妟
			匽
			偃
			揠
			堰
			隁
			蝘
			鰋
			鼴
			郾
			宴
			婪
356	1	4311	那
			哪
			娜
			挪
		4312	𠤏
			鴇
			駂
		4314	姦
	2	4324	召
			邵
			卲
			劭
			佋
			招
			怊
			沼
			迢
			炤
			昭
357	1		照
			眧
			袑
			紹
			貂
			超
			軺
			詔
			韶
			鞀
			鼦
			齠
	2		岧
			苕
			笤
			髫
			虱
			加
			伽
			咖
			枷
			耞
			跏
			茄
358	1		痂
			瘸
			笳
			架
			哿
			迦
			袈
			駕
			鴐
			賀
		4324	旨
	2		恉
			指
			脂
			詣
			耆
			蓍
			嗜
			搘
			榰
			鰭
359	1		鬐
		34241	眞
			傎
			滇
			愼
			塡
			嗔
			瑱
			瞋
			禛
	2		稹
			縝
			鎭
			黰
			顚
			巓
			癲
			寘
			闐
			鬒
		3441	解
360	1		澥
			懈
			嶰
			獬
			邂
			蟹
			廨
			薢
			欵
			肄
			疑
			凝
	2		儗
			擬
			礙
			嶷
			薿
			癡
		43312	穎
		4332	臽
		4334	羽
361	1		栩
			翊
			詡
			扇
			搧
			煽
			謆
			騸
			禤
		4343	比
	2		屁
			庇
			芘
			毗
			笓
			琵
			批
			仳
			妣
			枇
362	1		毗
			砒
			秕
			粃
			紕
			蚍
			毖
			昆
			崑
			崐
			混
			焜
			琨
	2		棍
			裩
			餛
			緄
			鯤
			鵾
		43431	坒
			陛
			狴
			梐
			皆
			偕
			階
363	1		堦
			揩
			喈
			楷
			稭
			諧
			鍇
			龤
		43434	刕
			劦
			協
			恊
			勰
	2		荔
			脅
		3435	𠬛
			[⿱刀巴]
			脃
			絕
			蕝
			撧
364	1	4350	刃
			仞
			牣
			紉
			軔
			訒
			韌
		4353	飛
		4354	歰
			澀
	2		譅
		4355	刅
			剏
			梁
			樑
			粱
			那
			办
			协
			苏
		43554	忍
365	1		涊
			認
		4400	㔾
			氾
			范
			笵
			犯
			範
			厄
			阨
	2		扼
			軛
			乜
			𠄎
		4410	彑
		4411	𧰲
			蠡
			劙
			㥟
			墬
		4412	彔
366	1	4413	剝
			菉
			淥
			碌
			祿
			綠
			醁
			錄
			籙
			毌
			貫
	2		慣
			摜
			實
			虜
			擄
			㯭
			艣
		44131	彘
		44134	彖
367	1		掾
			喙
			椽
			瑑
			緣
			櫞
			篆
		44153	彝
			彜
	2	44154	彙
		44155	母
			拇
			姆
			坶
			鉧
			苺
		4430	乃
			仍
368	1		扔
			奶
			礽
			艿
		4431	毋
		44312	朶
		4432	鼐
		44332	鄉
	2		曏
			薌
			嚮
			蠁
			饗
			響
		44342	孕
		44345	盈
			楹
			戤
369	1	4435	及
			伋
			汲
			吸
			圾
			扱
			級
			趿
			鈒
	2		岌
			芨
			笈
		44354	鄉
		4440	巛
			廵
			巡
		4441	𡿧
		44412	[⿱𡿧田]
			葘
370	1	44413	[⿰𣧄刂]
			𩠐
			𨕥
			衟
		4442	㛴
			菑
			淄
			緇
			輜
			錙
			鯔
			邕
	2		齆
			雝
			廱
			灉
			癰
			巢
			剿
			𠞰
			勦
			漅
			薻
			璅
			繅
371	1		䜈
			鏁
			巤
		44432	𡿺
			匘
			㛴
			惱
			腦
			瑙
			碯
			巤
	2		獵
			臘
			巡
			蠟
			躐
			鑞
			鬛
		44434	𡿪
			𠛱
			拶
372	1	44451	[⿱巛㐫]
		44453	災
		4450	幺
			廴
		4451	盭
	2	44524	[⿱幺月]
			胤
			酳
		44525	糸
			絲
			鷥
		4453	後
			𨒥
		4454	幻
			坳
			拗
		44543	幼
373	1		呦
			坳
			拗
			泑
			靿
			黝
			窈
		44544	𢆶
			茲
			幾
			嘰
	2		璣
			機
			磯
			禨
			蟣
			譏
			饑
			魕
			畿
			㡭
			繼
			斷
374	1		籪
			𢇇
			聯
			關
			𣊡
			隰
			濕
	2		顯
		3500	又
			奴
			呶
			怓
			努
			弩
			孥
			帑
			拏
375	1		砮
			駑
			怒
			[⿰犭怒]
			取
			掫
			陬
			緅
			諏
			趣
	2		鯫
			娶
			菆
			冣
			最
			撮
			嘬
			蕞
			聚
			藂
			鄹
			樷
			馭
376	1		反
			扳
			阪
			坂
			版
			板
			返
			販
			飯
			皈
	2		曼
			蔓
			嫚
			慢
			幔
			墁
			漫
			縵
			謾
377	1		鏝
			饅
			鬘
			鰻
			厶
			私
			俬
			弘
			泓
			对
			欢
	2		鳮
			劝
		45121	圣
			怪
			経
		45122	[⿳厶十回]
		45123	𣎼
			𠈃
		45132	弁
			拚
378	1		昪
			眉
			湄
			媚
			嵋
			楣
			郿
			賔
		45135	𠫻
			畚
			参
			軬
	2	4514	巴
			把
			筢
			爬
			杷
			芭
			羓
			耙
379	1		跁
			豝
			鈀
			靶
			疤
			笆
			葩
			琶
			肥
			淝
			蜰
	2		邰
			冶
			治
			怡
			始
			咍
			抬
			枱
			迨
380	1		殆
			胎
			眙
			紿
			詒
			貽
			鈶
			飴
			駘
			鮐
			齝
	2		苔
			怠
			炱
			枲
			笞
			強
			襁
			繈
			鏹
381	1		能
			熊
			態
			褦
			罷
			擺
			羆
			甬
			俑
	2		桶
			通
			涌
			慂
			蛹
			誦
			踊
			痛
			筩
			恿
			勇
382	1		湧
			踴
			貟
			𬥎
		45245	圅
		4531	牟
			侔
			眸
			蛑
			麰
			矣
			俟
	2		娭
			埃
			唉
			挨
			涘
			竢
			騃
			欸
		4533	癶
			癸
			戣
383	1		揆
			暌
			睽
			聧
			葵
			闋
			登
			鄧
			澄
	2		橙
			燈
			磴
			瞪
			證
			蹬
			鐙
			簦
			凳
			櫈
			發
			撥
			潑
384	1		襏
			醱
			廢
			癈
			䕠
		4534	允
			吮
			沇
			狁
		45345	羽
	2	4535	以
		45353	夋
			俊
			狻
			悛
			峻
			浚
			唆
			梭
			朘
			逡
385	1		竣
			畯
			酸
			餕
			駿
			痠
			皴
		4541	艰
		4542	予
			序
	2		芧
			妤
			抒
			杼
			紓
			舒
			野
			墅
			預
			澦
			蕷
			豫
386	1	45423	矛
			茅
			袤
			雺
			蟊
			柔
			揉
			猱
			糅
			蹂
	2		輮
			鞣
			矞
			獝
			璚
			遹
			橘
			鐍
			譎
			氄
			鷸
			霱
387	1		敄
			務
			霧
			婺
			楘
			愗
			瞀
			蝥
			鍪
			騖
			鶩
			楙
			埜
			懋
	2	4545	双
		45454	厽
			亝
			叅
			絫
			參
			毿
			摻
388	1		慘
			滲
			穇
			糝
			縿
			驂
			叒
			桑
			搡
			嗓
			磉
			顙
	2		叠
			叕
			剟
			敠
			掇
			惙
			蝃
			啜
			綴
			裰
			醊
			輟
			餟
			歠
389	1	4550	叉
			扠
			汊
			杈
			衩
			釵
			𡰫
		4555	㕚
		45552	蚤
			搔
	2		騷
390	1	5100	亠
		5111	言
			信
			唁
			狺
			這
			霅
			誾
			詈
			𠟟
	2		燮
			躞
			爕
			䜌
			圝
			變
			巒
			孌
			孿
			攣
			戀
			蠻
			臠
			鑾
391	1		鷥
			欒
			灤
			圞
			彎
			灣
		5112	主
			住
			注
	2		拄
			炷
			柱
			蛀
			註
			駐
			疰
			麈
			往
392	1		褻
		5113	幷
			屛
			偋
			幈
			摒
			倂
			姘
			拼
	2		洴
			蓱
			胼
			迸
			缾
			軿
			餅
			駢
			骿
			瓶
		5114	衺
393	1	51221	髙
			𠅘
		51225	峦
			挛
			弯
			孪
			变
			娈
			恋
		51241	高
			嵩
			暠
	2		篙
			蒿
			嚆
			嗃
			塙
			槁
			熇
			犒
			稿
			碻
			皜
			縞
			鎬
394	1		敲
			搞
			薧
			亳
			毫
			槀
			膏
			槀
			藁
			豪
			壕
	2		嚎
			濠
			蠔
			亭
			停
			婷
			渟
			葶
			亮
			喨
			亨
			脝
395	1		哼
			烹
			享
			啍
			崞
			惇
			淳
			椁
			諄
			醇
			錞
			鞟
			鶉
	2		郭
			廓
			槨
			鞹
			敦
			墩
			暾
			燉
			譈
			憝
			鐜
396	1		孰
			塾
			熟
			亰
			京
			勍
			剠
			凉
			掠
	2		涼
			景
			琼
			諒
			輬
			鯨
			黥
			景
			影
			顥
397	1		灝
			憬
			璟
			就
			僦
			蹴
			蹵
			鷲
			畗
			[⿰酉畗]
			哀
			衰
			亩
			畝
			畆
	2	51242	市
			柿
			鬧
			𨸲
			㐭
			禀
			稟
			廩
			凜
			懍
			壈
398	1		檁
			亶
			勯
			氈
			皽
			顫
			鸇
			嬗
			壇
			澶
			擅
			檀
	2		蟺
			旜
			羶
			襢
			饘
			𩍕
			鱣
			氊
			邅
		5125	卞
			抃
			忭
			汴
			飰
			笇
399	1	5130	广
		51321	亹
		51322	亱
		51323	夜
			液
			掖
			腋
	2	51325	亦
			奕
			弈
			帟
			迹
			跡
		5134	亢
			匟
			伉
			抗
			阬
400	1		坑
			沆
			忼
			吭
			炕
			杭
			秔
			粇
			航
			頏
	2		笐
			骯
			方
			仿
			倣
			防
			彷
			坊
401	1		妨
			枋
			昉
			肪
			眆
			紡
			舫
			訪
			魴
			房
			芳
	2		髣
			楞
			堃
			放
			邡
		51343	衣
			依
			䘚
			裔
			扆
		51344	袌
402	1	51345	椉
		5135	六
			文
			坟
			汶
			抆
			玟
			砇
	2		蚊
			紋
			旼
			雯
			閔
			憫
			坟
			这
			彣
			斌
		51351	彥
			喭
			諺
403	1		顏
			產
			剷
			鏟
			薩
			斑
			癍
			㪯
			斋
	2		吝
			麐
			螡
			齐
			[⿱文韭]
			斍
		51353	交
			佼
			姣
			狡
			咬
			洨
404	1		恔
			校
			效
			傚
			皎
			絞
			蛟
			跤
	2		較
			餃
			鉸
			鮫
			駮
			礮
			齩
			茭
			窔
405	1		筊
			効
			郊
			鳼
			卒
			倅
			啐
			捽
			悴
			淬
	2		猝
			晬
			焠
			睟
			碎
			綷
			粹
			誶
			醉
			瘁
			萃
			膵
			窣
			翠
406	1		顇
			雜
			疒
		51354	兖
			离
			篱
			摛
			漓
			璃
			縭
	2		褵
			螭
			醨
			離
			蘺
			籬
			魑
			黐
			紊
		51355	斒
		5140	亡
407	1		忙
			甿
			芒
			茫
			鋩
			虻
			邙
			杗
			肓
			盲
			妄
	2		蝱
			氓
			忘
		51423	○
			○
		51424	𣎆
			嬴
			瀛
			蠃
			羸
408	1		贏
			籯
			臝
			驘
		51432	巟
			荒
			慌
			謊
			衁
		51433	亥
409	1		該
			賅
			骸
			駭
			氦
			荄
			閡
		51434	望
		51443	雍
	2		擁
			噰
			臃
			壅
			甕
			罋
			饔
			癕
			蕹
		51445	玄
410	1		泫
			弦
			炫
			眩
			絃
			舷
			蚿
			鉉
			鮌
			衒
			痃
	2		玈
			畜
			慉
			搐
			蓄
			率
			摔
411	1		蟀
			繂
			牽
			縴
		51451	𠫓
			弃
			𢬵
			棄
		51452	育
			徹
	2		撤
			澈
			轍
		51453	充
			茺
			統
			銃
			㐬
			流
412	1		鎏
			琉
			梳
			硫
			疏
			蔬
			旒
			毓
			醯
	2	51454	袤
		51531	立
			拉
			啦
			垃
			泣
			粒
			㞐
			苙
			笠
			翌
413	1		竝
			位
			莅
			涖
			蒞
			昱
			煜
			䇂
			辛
			莘
			𣓀
			梓
			辣
			薛
	2		辞
			鋅
			騂
			辞
			宰
			滓
			屖
			稺
			遟
			辡
			辦
			辨
			瓣
			辮
414	1		辯
			新
			薪
			親
			嚫
			櫬
			襯
			辟
	2		僻
			擗
			澼
			避
			劈
			壁
			嬖
			臂
			擘
415	1		檗
			蘗
			甓
			璧
			襞
			躄
			癖
			薜
			霹
			闢
			咅
	2		菩
			剖
			部
			篰
			瓿
			倍
			蓓
			掊
			涪
			陪
			培
416	1		焙
			棓
			踣
			賠
			醅
			競
			音
			喑
			愔
			暗
			諳
	2		黯
			歆
			窨
			瘖
			闇
			章
			彰
			幛
			障
			嫜
417	1		獐
			嶂
			漳
			璋
			梓
			蟑
			瘴
			麞
			贛
			灨
			戇
	2		竟
			獍
			境
			鏡
			意
			億
			噫
			憶
			臆
			薏
			戠
418	1		幟
			熾
			職
			織
			識
			童
			罿
			氃
			僮
			幢
	2		潼
			艟
			獞
			曈
			橦
			疃
			瞳
			鐘
			憧
			撞
			龍
419	1		龎
			龐
			寵
			瀧
			隴
			壠
			攏
			嚨
	2		曨
			朧
			瓏
			櫳
			襱
			籠
			讋
			壟
			礱
			龔
			聾
			襲
			[⿰⿱立月尨]
420	1		竒
			妾
			唼
			接
			踥
			翣
			霎
			彦
			產
			豙
			毅
		51532	商
	2		啇
			嫡
			摘
			滴
			蹢
			謫
			鏑
			敵
			適
421	1		擿
			謫
			甋
			齊
			劑
			儕
			擠
			濟
	2		臍
			蠐
			躋
			鱭
			薺
			霽
			齋
			齌
			𪗌
422	1		齎
			齏
			𧆌
		51535	帝
			啻
			𣾪
			蒂
			啼
			禘
			碲
			締
			諦
	2		蹄
			旁
			傍
			搒
			滂
			徬
			牓
			榜
423	1		膀
			磅
			螃
			耪
			謗
			鎊
			蒡
		5240	门
		5300	冫
	2	5311	羊
			庠
			痒
			佯
			徉
			咩
			洋
			牂
			烊
			祥
			蛘
424	1		詳
			䍩
			翔
			鮮
			蘚
			癬
			譱
			盖
			羑
			㕗
			羌
			蜣
	2		羡
			羨
			鯗
			羕
			漾
			樣
			義
			㕒
			儀
425	1		檥
			蟻
			艤
			議
			羲
			曦
			犧
			恙
			㺊
			羔
	2		窯
			糕
			餻
			羮
			美
			鎂
			姜
			遅
			着
			善
426	1		鄯
			膳
			蟮
			繕
			饍
			鱔
			養
			癢
			羼
			羞
			饈
	2	53112	差
			嵯
			瘥
			嗟
			搓
			嵯
427	1		槎
			磋
			醝
			蹉
			鹺
			班
		53113	关
			𠈪
			咲
			送
			朕
	2		眹
			𬮦
			并
			龹
			豢
			拳
			眷
			劵
			𠉮
			券
			卷
428	1		勌
			圈
			倦
			捲
			惓
			棬
			睠
			蜷
			綣
			踡
			鬈
	2		[⿰月龹]
			謄
			騰
			騰
			勝
			塍
			媵
			螣
			賸
			滕
429	1		藤
			籐
			奍
		53122	並
			掽
			碰
			諩
			普
			譜
		53123	米
	2		咪
			眯
			屎
			氣
			愾
			餼
			麋
			攗
			迷
