頁	列	字碼	字
			噎
			曀
			殪
			豷
			饐
			懿
			壺
	2		壼
			[殼減左下]
			殼
			慤
			嗀
			彀
			愨
			穀
			榖
			縠
			觳
			瑴
			轂
46	1		鷇
			槖
		1221	廿
		12211	甘
			邯
			拑
			箝
			泔
			坩
	2		柑
			紺
			蚶
			甜
			憇
			嵌
			酣
			鉗
			疳
			某
			媒
47	1		煤
			楳
			禖
			謀
			其
			基
			棊
			惎
			朞
			碁
			綦
			淇
			娸
			棋
	2		琪
			祺
			稘
			蜞
			諆
			騏
			麒
			萁
			箕
			欺
			期
			旗
48	1		斯
			厮
			廝
			撕
			嘶
			澌
			蟖
			甚
			勘
			墈
			磡
			斟
			戡
			揕
			堪
	2		愖
			湛
			椹
			諶
			葚
			碪
			糂
			勘
		12212	昔
			厝
			瘄
			借
49	1		惜
			措
			唶
			腊
			耤
			藉
			籍
	2		蜡
			踖
			醋
			錯
			斮
			剒
			䧿
			鵲
			散
			撒
50	1		繖
			饊
			霰
			席
			蓆
			黃
			潢
			橫
	2		磺
			蟥
			觵
			鱑
			簧
			黌
			廣
			壙
			擴
			曠
			彍
			獷
			礦
			纊
51	1		鑛
			鄺
			燕
			嬿
			嚥
			臙
			讌
			醼
			鷰
			革
			勒
			䨣
	2		㒼
			滿
			懣
			瞞
			蹣
			顢
			𦰩
			嘆
			漢
			暵
52	1		熯
			歎
			艱
			難
			儺
			灘
			攤
			癱
			臡
			囏
			𪄿
	2		堇
			厪
			廑
			勤
			懃
			鄞
			覲
			墐
			僅
			慬
			瑾
			槿
			殣
53	1		謹
			饉
		12213	共
			供
			洪
			拱
			哄
			烘
			蕻
	2		閧
			衖
			𡱒
			殿
			澱
			臀
			癜
			臋
			恭
			暴
			儤
54	1		瀑
			爆
			曝
			襮
			鑤
			謈
			䢽
			拲
			巷
			港
			帶
			滯
			墆
			螮
	2		蹛
			蔕
			廗
			慸
			遰
		12214	度
			渡
			踱
55	1		鍍
			展
			碾
			蹍
			輾
			囅
			世
			泄
			抴
			枻
	2		紲
			屜
			枼
			葉
			堞
			揲
			喋
			渫
			媟
			煠
			牒
			碟
			蹀
			緤
56	1		鍱
			蝶
			諜
			韘
			鰈
			屟
			屧
			貰
			勩
		12215	庶
			摭
			蹠
	2		蔗
			遮
			鷓
		1222	卅
		12241	古
			估
			沽
			咕
			姑
			菇
57	1		怙
			岵
			枯
			牯
			祜
			蛄
			䊀
			詁
			鈷
			酤
			𩚩
			骷
			鴣
			嘏
			辜
	2		罟
			苦
			楛
			故
			做
			居
			倨
58	1		据
			琚
			椐
			裾
			踞
			鋸
			固
			個
			涸
			痼
			箇
	2		錮
			胡
			湖
			猢
			葫
			瑚
			蝴
			糊
			衚
			醐
			餬
59	1		鬍
			鶘
			盬
			克
			剋
			氪
			兢
			真
			直
			值
			埴
			植
	2		殖
			置
			矗
			倝
			乾
			幹
			澣
			榦
			斡
60	1		翰
			瀚
			戟
			朝
			嘲
			潮
			廟
			韓
			𠷔
			喪
	2		賷
			噩
			鱷
			讍
			蘁
		12243	𢛳
			德
			聽
			廳
61	1	12245	南
			喃
			楠
			腩
			蝻
			罱
			献
		1225	晋
		1230	才
			材
			財
	2		豺
			閉
			鼒
		1234	𣎳
		12341	𣏟
			麻
			蔴
			嘛
			麼
62	1		嬤
			摩
			麾
			磨
			蘑
			饝
			痳
			糜
			縻
			靡
	2		蘼
			劘
			䃺
			釄
			魔
			㪔
			𢿨
			澘
		12342	賓
			儐
			擯
			濱
			獱
			嬪
63	1		臏
			檳
			殯
			蠙
			鑌
			髕
			矉
			繽
			鬢
		12345	朮
			沭
			怵
	2		秫
			訹
			鉥
			述
			術
		1235	木
			床
			牀
			沐
			霂
			宋
64	1		筞
			杲
			髤
			休
			咻
			貅
			庥
			烋
			髹
			鵂
			困
			悃
			捆
	2		梱
			睏
			綑
			閫
			閑
			嫻
			鷴
		12351	林
			[⿸广林]
			淋
			惏
			琳
			彬
65	1		郴
			痳
			森
			霖
			柰
			隸
			本
			体
			缽
			躰
			鉢
			笨
	2	12352	杏
			杳
			查
			渣
			揸
			楂
			螙
		12353	巫
			筮
66	1		澨
			噬
			誣
			覡
			麥
			嘜
			嗇
			薔
			墻
			濇
			嬙
			牆
			檣
	2		穡
			艢
			轖
			賫
			桼
			䣛
			漆
			膝
