# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
118	7	2	伙	1/1		方果	方	果		f	o	2	2	fo2		徙～，搬～：遷家也。～伴：夥計也		
119	7	2	佇	1/1		創雨	創	雨		c	yu	5	5	cyu5		待也，久立也		
120	7	2	佈	1/1		邦告	邦	告		b	ou	3	3	bou3		徧也。宣～，～告，～聞		
121	7	2	位	1/1		汪跪	汪	跪		w	ai	6	6	wai6		所處之地也		
122	7	2	低	1/1		當鷄	當	雞		d	ai	1	1	dai1		下也。～徊：反覆思慕也		
123	7	2	住	1/1		莊樹	莊	樹		z	yu	6	6	zyu6		居也，止也		
124	7	2	佐	1/1		臧個	臧	個		z	o	3	3	zo3		輔也		
125	7	2	伯	1/1		邦格	邦	格		b	aak	3	8	baak3		長也。～父、～兄		
126	7	2	估	1/1		光苦	光	苦		gw	u	2	2	gwu2		論物價也。～價、～量		
127	7	2	你	1/1		囊企	囊	企		n	ei	5	5	nei5		汝也		
128	7	3	伴	1/1		邦悶	邦	悶		b	un	6	6	bun6		侶也，陪也		
129	7	3	伶	1/1		郎瓊	郎	瓊		l	ing	4	4	ling4		戲子也。～俐，聰慧也。～仃，孤苦也		
130	7	3	佑	1/1		也就	也	就		j	au	6	6	jau6		助也		
131	7	3	佔	1/1		莊劍	莊	劍		z	im	3	3	zim3		據也。～侵，～據		
132	7	3	何	1/1		康磨	康	磨		h	o	4	4	ho4		誰也。又～為，～故，詰問之詞也		
133	7	3	余	1/1		也殊	也	殊		j	yu	4	4	jyu4		我也。又姓		
134	7	3	伸	1/1		爽根	爽	根		s	an	1	1	san1		舒也，理也		
135	7	3	佚	1/1		也掘	也	掘		j	at	6	9	jat6		安也，又隱逸也		
136	7	3	伺	1/1		倉事	倉	事		c	i	6	6	ci6		偵察也		
137	7	3	似	1/1		倉市	倉	市		c	i	5	5	ci5		肖也，續也。～乎，～應，未定之詞也		
138	7	3	佃	1/1		當件	當	件		d	in	6	6	din6		承任耕田之客也。又通畋、田		
139	7	3	但	1/1		當犯	當	犯		d	aan	6	6	daan6		特也，轉語詞		
140	7	3	佛	1/1		方掘	方	掘		f	at	6	9	fat6		釋教之祖也		
141	7	3	作	1/1		臧各	臧	各		z	ok	3	8	zok3		造也，興起也，振起也		
142	7	3	佞	1/1		囊競	囊	競		n	ing	6	6	ning6		好口才也。不～，自謙也		
143	7	3	佩	1/1		旁背	旁	背		p	ui	3	3	pui3		帶也。感～，～服，不忘也		
144	7	3	佬	1/1		郎稿	郎	稿		l	ou	2	2	lou2		男子之稱也。又鄉～，顛～		
145	7	3	佯	1/1		也祥	也	祥		j	oeng	4	4	joeng4		咋也。～狂，～笑		
146	7	3	佰	1/1		邦格	邦	格		b	aak	3	8	baak3		同百		
147	7	3	佳	1/1		岡乖	岡	乖		g	aai	1	1	gaai1		美也		
148	7	3	佻	1/1		湯嬌	湯	嬌		t	iu	1	1	tiu1		輕薄也		
149	7	3	使	1/1		桑子	桑	子		s	i	2	2	si2		役也。又假設之詞		
150	7	4	侃	1/1		康趕	康	趕		h	on	2	2	hon2		剛直也		
151	7	4	來	1/1		郎材	郎	材		l	oi	4	4	loi4		由～，原～：追前也。將～，未～：預計也		
152	7	4	來	1/1		郎在	郎	在		l	oi	6	6	loi6		撫愛其至者也		
153	7	4	侈	1/1		創子	創	子		c	i	2	2	ci2		奢也，放寬也		
154	7	4	例	1/1		郎跪	郎	跪		l	ai	6	6	lai6		比類也。事～，舊～，律～		
155	7	4	侍	1/1		爽自	爽	自		s	i	6	6	si6		陪立也		
156	7	4	侔	1/1		亡求	亡	求		m	au	4	4	mau4		相等也		
157	7	4	供	1/1		岡宗	岡	宗		g	ung	1	1	gung1		奉也，給也。～應		
158	7	4	依	1/1		也詩	也	詩		j	i	1	1	ji1		從也，倚靠也		
159	7	4	侮	1/1		亡抱	亡	抱		m	ou	5	5	mou5		～慢也		
160	7	4	侯	1/1		康求	康	求		h	au	4	4	hau4		二等爵也，尊稱人之詞也		
161	7	4	侵	1/1		倉金	倉	金		c	am	1	1	cam1		～占，～奪：越分而取也。～尋：漸次也		
162	7	4	侶	1/1		郎拒	郎	拒		l	eoi	5	5	leoi5		伴也，徒也	Y	廣話切原作「朗拒」。「朗」字不確而近似「郎」，故易作「郎拒」
163	7	4	便	1/1		邦件	邦	件		b	in	6	6	bin6		～利，～當：安也。～坐，～飯：隨意也		
164	7	4	便	1/1		旁虔	旁	虔		p	in	4	4	pin4		～宜：相宜也。～～：辦也，又肥滿也		
165	7	4	係	1/1		康跪	康	跪		h	ai	6	6	hai6		委～，確～：是也。關～：重大也		
166	7	4	促	1/1		倉谷	倉	谷		c	uk	1	7	cuk1		短～，急～：逼也。敦～：催逼也		
167	7	4	俄	1/1		昂磨	昂	磨		ng	o	4	4	ngo4		～頃：短速之時，猶言之一陣間也		
168	7	4	俊	1/1		臧信	臧	信		z	eon	3	3	zeon3		才智過人也		
169	7	4	俏	1/1		倉呌	倉	叫		c	iu	3	3	ciu3		美好也		
170	7	4	俐	1/1		郎忌	郎	忌		l	ei	6	6	lei6		伶～，聰明也		
171	7	4	俑	1/1		也拱	也	拱		j	ung	2	2	jung2		作～，倡為不善之禍首也		
172	8	1	俎	1/1		莊果	莊	果		z	o	2	2	zo2		砧板也。～豆		
173	8	1	俗	1/1		臧局	臧	局		z	uk	6	9	zuk6		風～，人民習慣也。～氣，～物，不雅也		
174	8	1	俘	1/1		方姑	方	姑		f	u	1	1	fu1		戰勝所獲之敵人也		
175	8	1	俚	1/1		郎企	郎	企		l	ei	5	5	lei5		鄙俗也。無～，猶言無聊也		
176	8	1	保	1/1		邦稿	邦	稿		b	ou	2	2	bou2		～證，～險，担～也。～護，～衛，～守也		
177	8	1	俞	1/1		也殊	也	殊		j	yu	4	4	jyu4		答應之詞也		
178	8	1	俟	1/2		桑次	桑	次	E	s	i	3	3	si3		等待也		
178	8	1	俟	2/2	C	臧事	臧	事		z	i	6	6	zi6				
179	8	1	俠	1/1		康立	康	立		h	aap	6	9	haap6		仗義也。豪～		
180	8	1	信	1/1		桑進	桑	進		s	eon	3	3	seon3		不疑也。又風～，潮～，消息也		
181	8	1	修	1/1		桑鳩	桑	鳩		s	au	1	1	sau1		整治也，長也		
182	8	1	俯	1/1		方古	方	古		f	u	2	2	fu2		身首向下也。～允，～念，荅尊者之詞		
183	8	1	俱	1/1		慷居	慷	居		k	eoi	1	1	keoi1		齊也，皆也		
184	8	1	俳	1/1		旁懷	旁	懷		p	aai	4	4	paai4		～優，雜戲也		
185	8	1	俸	1/1		方拱	方	拱		f	ung	2	2	fung2		～祿，薪～，用力所得之錢也		
186	8	1	俺	1/1		也兼	也	兼		j	im	1	1	jim1		我也。優界說作晏上平，亦我也		
187	8	1	俾	1/1		邦匪	邦	匪		b	ei	2	2	bei2		使也，從也		
188	8	1	倀	1/1		創盲	創	盲		c	aang	4	4	caang4		～～，不知所往也。虎～，為惡人導也		
189	8	1	併	1/1		邦競	邦	競		b	ing	6	6	bing6		相並也		
190	8	1	倆	1/1		郎蔃	郎	蔃		l	oeng	5	5	loeng5		伎～，手段也		
191	8	1	倉	1/1		親岡	親	岡		c	ong	1	1	cong1		藏穀之處也。～卒，急遽也		
192	8	1	個	1/1		岡過	岡	過		g	o	3	3	go3		～人，一～，幾～		
193	8	1	倌	1/1		光歡	光	歡		gw	un	1	1	gwun1		～人，事馬者也。堂～，店肆之走堂也		
194	8	1	倍	1/1		旁每	旁	每		p	ui	5	5	pui5		加等也		
195	8	2	倏	1/1		爽谷	爽	谷		s	uk	1	7	suk1		忽然也		
196	8	2	們	1/1		亡盤	亡	盤		m	un	4	4	mun4		我～，他～		
197	8	2	倒	1/1		當稿	當	稿		d	ou	2	2	dou2		顛～：雜亂也。～懸：急也。傾～：盡也		
198	8	2	倔	1/1		光疾	光	疾		gw	at	6	9	gwat6		～強，不附和也		
199	8	2	倖	1/1		康贈	康	贈		h	ang	6	6	hang6		僥～，非分而得也		
200	8	2	倘	1/2		湯講	湯	講	E	t	ong	2	2	tong2		～然，～使：或然之詞也		
200	8	2	倘	2/2	C	他講	他	講		t	ong	2	2	tong2				
201	8	2	候	1/1		康就	康	就		h	au	6	6	hau6		氣～，節～：時也。問～，趨～：謁見也		
202	8	2	借	1/1		臧瀉	臧	瀉		z	e	3	3	ze3		求人相～也。～借：推許過當也		
203	8	2	倚	1/1		也史	也	史		j	i	2	2	ji2		～賴		
204	8	2	倡	1/1		創薑	創	薑		c	oeng	1	1	coeng1		～優：女樂也。～狂：妄行不檢也		
205	8	2	倡	1/2		創帳	創	帳		c	oeng	3	3	coeng3		提～：發起人也。俗或作上平		
205	8	2	倡	2/2	A					c	oeng	1	1	coeng1	common			
206	8	2	倣	1/1		分講	分	講		f	ong	2	2	fong2		依樣學造也		
207	8	2	值	1/1		莊極	莊	極		z	ik	6	9	zik6		遇也。～年，～日：當也。價～：相準也		
208	8	2	倦	1/1		岡亂	岡	亂		g	yun	6	6	gyun6		疲也		
209	8	2	倥	1/1		康恭	康	恭		h	ung	1	1	hung1		～侗：無知也		
210	8	2	倥	1/1		康拱	康	拱		h	ung	2	2	hung2		～傯：迫促也		
211	8	2	倩	1/1		桑見	桑	見		s	in	3	3	sin3		笑也。姊～，姪～：婿也。又～人：求人也		
212	8	2	倪	1/2		昂齊	昂	齊		ng	ai	4	4	ngai4		幼兒也。端～：事之始也。俗作下上聲		
212	8	2	倪	2/2	A					ng	ai	5	5	ngai5	common			
213	8	2	倫	1/1		郎巡	郎	巡		l	eon	4	4	leon4		倫常也，類也，比也，等也		
